Vers 1100;La Chanson de Roland
Vers 1170;Le Roman de Renart
Vers 1190;Perceval ou le Conte du Graal Chrétien de Troyes
Vers 1230;Le Roman de la Rose - Guillaume de Lorris
1405;La Cité des dames - Christine de Pisan
Vers 1465;La Farce de Maître Pathelin
1532;Pantagruel - François Rabelais
1552;Les Amours - Pierre de Ronsard
1580;Essais - Michel de Montaigne
1635;La fondation de l'Académie française
1637;Le Cid - Pierre Corneille
1659;Les Précieuses ridicules – Molière
1667;Andromaque - Jean Racine
1668;Fables - Jean de La Fontaine
1674;L'Art poétique - Nicolas Boileau
1678;La Princesse de Clèves - Marie-Madeleine de La Fayette
1697;Contes de ma mère l'Oie - Charles Perrault
1721;Lettres persanes – Montesquieu
1725;Lettres - Marquise de Sévigné
1730;Le Jeu de l'amour et du hasard - Pierre Carlet de Marivaux
1747;Zadig – Voltaire
1778;Jacques le fataliste et son maître - Denis Diderot
1782;Les Liaisons dangereuses - Pierre Choderlos de Laclos
1782;Les Confessions - Jean-Jacques Rousseau
1784;Le Mariage de Figaro - Pierre-Auguste Caron de Beaumarchais
1820;Méditations poétiques - Alphonse de Lamartine
1830;Le Rouge et le Noir – Stendhal
1835;Le Père Goriot - Honoré de Balzac
1844;Les Trois Mousquetaires - Alexandre Dumas
1846;La Mare au diable - George Sand
1848;Mémoires d'outre-tombe - François-René de Chateaubriand
1856;Madame Bovary - Gustave Flaubert
1857;Les Fleurs du Mal - Charles Baudelaire
1862;Les Misérables - Victor Hugo
1865;De la Terre à la Lune - Jules Verne
1866;Poèmes saturniens - Paul Verlaine
1877;L'Assommoir - Émile Zola
1886;Illuminations - Arthur Rimbaud
1886;Le Horla - Guy de Maupassant
1892;Monsieur chasse ! - Georges Feydeau
1897;Cyrano de Bergerac - Edmond Rostand
1901;Sully Prudhomme reçoit le premier prix Nobel de littérature
1913;Alcools - Guillaume Apollinaire
1913;Du côté de chez Swann - Marcel Proust
1925;Les Faux-monnayeurs - André Gide
1926;Capitale de la douleur - Paul Éluard
1932;Voyage au bout de la nuit - Louis-Ferdinand Céline
1933;La Condition humaine - André Malraux
1942;Les Yeux d'Elsa - Louis Aragon
1942;L'Étranger - Albert Camus
1943;Le Petit Prince - Antoine de Saint-Exupéry
1944;Antigone - Jean Anouilh
1947;L'Écume des jours - Boris Vian
1950;La Cantatrice chauve - Eugène lonesco
1951;Mémoires d'Hadrien - Marguerite Yourcenar
1956;L'Ère du soupçon - Nathalie Sarraute
1957;La Gloire de mon père - Marcel Pagnol
1963;Les Mots - Jean-Paul Sartre
1984;L'Amant - Marguerite Duras
1985;Le Chercheur d'or - Jean-Marie Gustave Le Clézio
