Vers -23000;La Vénus de Willendorf
Vers -15000;Les grottes d'Altamira
Vers -4000;Les mégalithes de Carnac
Vers -2500;Le Grand sphinx de Gizeh
Vers -2120;Les statues de Goudéa
Vers - 1550;Le Livre des morts
Vers -1500;La calligraphie extrême orientale
Vers -1330;Le masque d'or de Toutankhamon
Vers -850;L'Iliade et l'Odyssée – Homere
Vers -600;Les vases de Corinthe
Vers -600;La tombe de Vix
Vers -450;Le Discobole – Myron
Vers -447;Athena Parthenos – Phidias
Vers -100;La Mosaïque d'Alexandre dans la maison du Faune
Vers -20;L'Enéide - Virgile
Vers 10;Le théâtre antique d'Orange
Vers 350;Les fresques de la catacombe de Marcelin et Pierre
Vers 600;Les masques de jade mayas de style classique
Vers 600;Le chant grégorien
786;Le Mihrab de la cathédrale de Cordoue
Vers 1070;La Tapisserie de Bayeux
1181;Lancelot ou le Chevalier de la charrette - Chrétien de Troyes
Vers 1200;Les vitraux de Chartres
1321;La Divine Comédie - Dante Alighieri
1386;La cathédrale de Milan
Vers 1410;Les Tres Riches Heures du duc de Berry - Les freres de Limbourg
1485;La Naissance de Vénus - Sandro Botticelli
1492;Le château d'Amboise - Style Rennaissance
1498;La cene-Léonard de Vinci
1534;Gargantua - François Rabelais 
1541;La création d'Adam-Michel Ange
1554;Persée tenant la tête de La Méduse - Benvenuto Cellini
1597;Romeo et Juliette - William Shakespeare
1600;La Vocation de saint Matthieu-Le Caravage
1615;L'Ingénieux Hidalgo Don Quichotte de la Manche - Miguel de Cervantes
1642;La Ronde de nuit – Rembrandt
1656;Les Ménines - Diego Velázquez
1670;Le Bourgeois gentilhomme-Molière
1721;Lettres persanes – Montesquieu
1764;Le Panthéon de Paris - Jacques-Germain Soufflot
1769;Marie-Madeleine Guimard - Jean-Honoré Fragonard
1791;Requiem en ré mineur-Wolfgang Amadeus Mozart
1818;Le Voyageur au-dessus de la mer de nuages - Caspar Friedrich
1831;Notre-Dame de Paris - Victor Hugo
1862;Le Palais Garnier
1863;Le Déjeuner sur l'herbe - Edouard Manet
1872;Impression, soleil levant-Claude Monet
1877;Le Lac des cygnes - Piotr llitch Tchaikovski
1888;Tournesols dans un vase - Vincent van Gogh
1898;Pectoral à la libellule - René Lalique
1902;Le Penseur-Auguste Rodin
1905;Little Nemo in Slumberland - Winsor McCay
1907;Crazy Thunder - Edward Curtis
1907;Pablo Picasso ouvre la voie au cubisme
1910;Fenêtres simultanées sur la ville – Delaunay
1931;Salvador Dali expose ses premieres ceuvres surréalistes
1936;Les Temps modernes - Charlie Chapa
1956;Tulip Chair - Eero Saarinen
1962;Andy Warhol participe à l'exposition « The New Realists »
1967;What a Wonderful World - Louis Armstrong
