Vers -1 600 000;Les premiers bifaces
Vers -800 000;La domestication du feu
Vers -75 000;Les premières créations artistiques
Vers -33 000;La flute
Vers -10 000;L'arc
Vers -8000;L'agriculture
Vers -6000;Le vin
Vers -3500;La roue
Vers -3300;L'écriture cunéiforme
Vers -2500;Le savon
Vers -2000;La serrure égyptienne
Vers -1500;Le cadran solaire
Vers -650;Les pièces de monnaie
Vers -400;La catapulte
-265;La poussée d'Archimède – Archimede
105;Le papier - Cai Lun
Vers 800;La poudre noire
868;L'imprimerie
870;Le moulin à vent occidental
Vers 1000;La boussole
Vers 1300;Les lunettes de vue
1313;Le canon - Berthold le Noir
1461, 29 mars;Le pistolet
1498;La brosse à dents
1590;Le microscope optique Hans et Zacharias Janssen
1609;La lunette astronomique – Galilée
1642;La machine à calculer - Blaise Pascal
1687;La théorie de l'attraction universelle - Isaac Newton
1690;La machine à vapeur à piston - Denis Papin
1709;Le piano - Bartolomeo Cristofiri
1752;Le paratonnerre-Benjamin Franklin
1759;Le sextant - John Bird
1776;Le premier sous-marin militaire - David Bushnell
1783, 4 juin;La montgolfière - Etienne et Joseph Montgolfier
1796, 14 mai;La vaccination - Edward Jenner
1800;La pile électrique - Alessandro Volta
1804;La locomotive à vapeur - Richard Trevithick
1816, 17 février;Le stéthoscope - René Laennec
1826;La photographie - Jospeh Nicéphore Niépce
1838, 28 septembre;Le télégraphe électrique Samuel Morse
1865;La pasteurisation - Louis Pasteur
1867, 25 novembre;La dynamite - Alfred Nobel
1876, 14 février;Le téléphone - Alexandre Graham Bell
1879, octobre;L'ampoule électrique Thomas Edison
1885, 29 janvier;L'automobile - Carl Benz
1890, 9 octobre;L'aviation - Clément Ader
1893;La radio- Nikola Tesla
1895;Les rayons X-Wilhelm Röntgen
1895, 28 décembre;Le cinéma - Frères Lumière
1915;La loi de la relativité générale Albert Einstein
1926, 26 janvier;La télévision - John Baird
1928,3 septembre;La pénicilline Alexander Fleming
1935;Le radar - Robert Watson-Watt
1942;L'ordinateur - John Atanasoff et Clifford Berry
1953, 25 avril;La structure de l'ADN Watson et Crick
1957, 4 octobre;Le satellite spatial Spoutnik 1
1960;Le laser - Theodore Maiman
1973, 4 avril;Le téléphone portable Martin Cooper
1974;La carte à puce - Roland Moreno
1989;Le World Wide Web - Tim Berners-Lee
