Vers -2800;Le site mégalithique de Stonehenge
Vers -2600;La pyramide de Khéops
Vers-1270;Les temples d'Abou Simbel
Vers -600;Les jardins suspendus de Babylone
Vers -550;Le temple d'Artémis d'Ephèse
-518;La cité de Persépolis
-447;Le Parthenon
Vers -435;La statue chryséléphantine de Zeus
-353;Le mausolée d'Halicarnasse
-297;Le phare d'Alexandrie
-292;Le colosse de Rhodes
-246;Le mausolée de l'empereur Qin Shi Huangdi
-221;La Grande muraille de Chine Vers
-100;Le Khazneh de Pétra
-19;Le temple d'Hérode
Vers 1;Les rizières de Banaue
Vers 70;Le Colisée de Rome
Vers 125;Le théâtre antique de Bosra
Vers 400;Les géoglyphes d'animaux de Nazca
Vers 500;Les Bouddhas de Bâmiyân
532;La basilique Sainte Sophie de Justinien
Vers 600;La cité maya de Palenque
638;La mosquée sacrée Masjid al-Haram
713;Le Grand Bouddha de Leshan
792;La chapelle palatine d'Aix-la-Chapelle
Vers 800;Le temple de Borobudur
Vers 800;La pyramide de Kukulcán de Chichén Itzá
966;L’Abbaye du Mont-Saint-Michel
Vers 1060;La basilique Saint-Marc de Venise
Vers 1100;Le temple de l'Ananda de Bagan
Vers 1120;Le temple Angkor Vat
1173;La tour de Pise
1238;L'Alhambra
Vers 1250;Les moai de l'île de Pâques
1386;La cathédrale de Milan
1406;La Cité interdite
Vers 1450;La cité inca de Machu Picchu
Vers 1500;Shibam,la Manhattan du désert
1502;Le monastère des Hiéronymites
1506;La basilique Saint-Pierre de Rome
1555;La cathédrale Basile-le-Bienheureux
1583;Le château d'Osaka
1619;La médersa Cher Dor de Samarkand
1632;Le Taj Mahal
1645;Le palais du Potala
1664;Le château de Versailles
1769;La pagode Shwedagon
1799;Le palais des Vents
1840;Le palais de Westminster
1869;Le château de Neuschwanstein
1876;La statue de la Liberté
1882;La Sagrada Família
1885;Le parlement hongrois
1887;La tour Eiffel
1907;La Grande mosquée de Djenné
1926;Le Christ rédempteur de Rio de Janeiro
1930;L'Empire State Building
1959;L'opéra de Sydney
1992;Les tours Pétronas
1994;L'hôtel Burj al-Arab
